2026-01-30 12:41:58.346 IST [20832] LOG:  starting PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit
2026-01-30 12:41:58.362 IST [20832] LOG:  listening on IPv6 address "::1", port 5433
2026-01-30 12:41:58.362 IST [20832] LOG:  listening on IPv4 address "127.0.0.1", port 5433
2026-01-30 12:41:58.546 IST [5472] LOG:  database system was shut down at 2026-01-30 12:41:28 IST
2026-01-30 12:41:58.576 IST [20832] LOG:  database system is ready to accept connections
2026-01-30 12:46:58.514 IST [30836] LOG:  checkpoint starting: time
2026-01-30 12:48:48.859 IST [30836] LOG:  checkpoint complete: wrote 1016 buffers (6.2%), wrote 3 SLRU buffers; 1 WAL file(s) added, 0 removed, 0 recycled; write=109.942 s, sync=0.359 s, total=110.346 s; sync files=312, longest=0.002 s, average=0.002 s; distance=4890 kB, estimate=4890 kB; lsn=0/1CACF78, redo lsn=0/1CACEE8
2026-01-30 13:14:35.101 IST [30100] ERROR:  relation "_prisma_migrations" does not exist at character 126
2026-01-30 13:14:35.101 IST [30100] STATEMENT:  SELECT "id", "checksum", "finished_at", "migration_name", "logs", "rolled_back_at", "started_at", "applied_steps_count" FROM "_prisma_migrations" ORDER BY "started_at" ASC
2026-01-30 13:14:35.556 IST [30836] LOG:  checkpoint starting: immediate force wait
2026-01-30 13:14:35.577 IST [30836] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.003 s, sync=0.006 s, total=0.022 s; sync files=4, longest=0.002 s, average=0.002 s; distance=4687 kB, estimate=4869 kB; lsn=0/2140B68, redo lsn=0/2140B10
2026-01-30 13:14:36.169 IST [30836] LOG:  checkpoint starting: immediate force wait
2026-01-30 13:14:36.188 IST [30836] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.006 s, total=0.019 s; sync files=4, longest=0.002 s, average=0.002 s; distance=4687 kB, estimate=4851 kB; lsn=0/25D4868, redo lsn=0/25D4810
2026-01-30 13:14:36.819 IST [30836] LOG:  checkpoint starting: immediate force wait
2026-01-30 13:14:36.897 IST [30836] LOG:  checkpoint complete: wrote 47 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.015 s, sync=0.053 s, total=0.078 s; sync files=41, longest=0.002 s, average=0.002 s; distance=4870 kB, estimate=4870 kB; lsn=0/2A96278, redo lsn=0/2A96220
2026-01-30 13:14:37.830 IST [30836] LOG:  checkpoint starting: immediate force wait
2026-01-30 13:14:37.849 IST [30836] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.006 s, total=0.019 s; sync files=4, longest=0.002 s, average=0.002 s; distance=4687 kB, estimate=4852 kB; lsn=0/2F2A190, redo lsn=0/2F2A138
2026-01-30 13:14:38.039 IST [30100] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-01-30 13:19:37.856 IST [30836] LOG:  checkpoint starting: time
2026-01-30 13:19:50.659 IST [30836] LOG:  checkpoint complete: wrote 118 buffers (0.7%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=12.703 s, sync=0.086 s, total=12.803 s; sync files=92, longest=0.005 s, average=0.001 s; distance=700 kB, estimate=4437 kB; lsn=0/2FD9278, redo lsn=0/2FD91E8
2026-01-30 13:22:14.164 IST [34116] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-01-30 13:24:37.670 IST [30836] LOG:  checkpoint starting: time
2026-01-30 13:24:38.120 IST [30836] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.431 s, sync=0.010 s, total=0.451 s; sync files=5, longest=0.005 s, average=0.002 s; distance=4 kB, estimate=3993 kB; lsn=0/2FDA338, redo lsn=0/2FDA2E0
